Low Birth Weight Ind Desc,Year Desc,County Name,Age Group Desc,Birth Count,Birth Count_PCT,SORT
Normal birth weight (2500g+),2006,Athens,45 and older,*,*,154
Low birth weight (<2500g),2006,Athens,Less than 15,0,0.0,156
Normal birth weight (2500g+),2006,Athens,Less than 15,0,0.0,157
Low birth weight (<2500g),2006,Athens,Unknown,0,0.0,159
Normal birth weight (2500g+),2006,Athens,Unknown,0,0.0,160
Low birth weight (<2500g),2006,Auglaize,15 to 17,0,0.0,165
Normal birth weight (2500g+),2006,Auglaize,15 to 17,*,*,166
Low birth weight (<2500g),2006,Auglaize,18 to 19,2,3.9,168
Normal birth weight (2500g+),2006,Auglaize,18 to 19,49,96.1,169
Low birth weight (<2500g),2006,Auglaize,20 to 24,14,8.6,171
Normal birth weight (2500g+),2006,Auglaize,20 to 24,149,91.4,172
Low birth weight (<2500g),2006,Auglaize,25 to 29,9,4.1,174
Normal birth weight (2500g+),2006,Auglaize,25 to 29,209,95.9,175
Low birth weight (<2500g),2006,Auglaize,30 to 34,6,5.5,177
Normal birth weight (2500g+),2006,Auglaize,30 to 34,103,94.5,178
Low birth weight (<2500g),2006,Auglaize,35 to 39,4,7.4,180
Normal birth weight (2500g+),2006,Auglaize,35 to 39,50,92.6,181
Low birth weight (<2500g),2006,Auglaize,40 to 44,*,*,183
Normal birth weight (2500g+),2006,Auglaize,40 to 44,*,*,184
Low birth weight (<2500g),2006,Auglaize,45 and older,0,0.0,186
Normal birth weight (2500g+),2006,Auglaize,45 and older,0,0.0,187
Low birth weight (<2500g),2006,Auglaize,Less than 15,0,0.0,189
Normal birth weight (2500g+),2006,Auglaize,Less than 15,0,0.0,190
Low birth weight (<2500g),2006,Auglaize,Unknown,0,0.0,192
Normal birth weight (2500g+),2006,Auglaize,Unknown,0,0.0,193
Low birth weight (<2500g),2006,Belmont,15 to 17,2,8.7,198
Normal birth weight (2500g+),2006,Belmont,15 to 17,*,*,199
Low birth weight (<2500g),2006,Belmont,18 to 19,5,8.8,201
Normal birth weight (2500g+),2006,Belmont,18 to 19,52,91.2,202
Low birth weight (<2500g),2006,Belmont,20 to 24,17,7.9,204
Normal birth weight (2500g+),2006,Belmont,20 to 24,198,92.1,205
Low birth weight (<2500g),2006,Belmont,25 to 29,14,6.9,207
Normal birth weight (2500g+),2006,Belmont,25 to 29,190,93.1,208
Low birth weight (<2500g),2006,Belmont,30 to 34,7,5.5,210
Normal birth weight (2500g+),2006,Belmont,30 to 34,121,94.5,211
Low birth weight (<2500g),2006,Belmont,35 to 39,3,6.0,213
Normal birth weight (2500g+),2006,Belmont,35 to 39,47,94.0,214
Low birth weight (<2500g),2006,Belmont,40 to 44,0,0.0,216
Normal birth weight (2500g+),2006,Belmont,40 to 44,*,*,217
Low birth weight (<2500g),2006,Belmont,45 and older,0,0.0,219
Normal birth weight (2500g+),2006,Belmont,45 and older,*,*,220
Low birth weight (<2500g),2006,Belmont,Less than 15,0,0.0,222
Normal birth weight (2500g+),2006,Belmont,Less than 15,0,0.0,223
Low birth weight (<2500g),2006,Belmont,Unknown,0,0.0,225
Normal birth weight (2500g+),2006,Belmont,Unknown,0,0.0,226
Low birth weight (<2500g),2006,Brown,15 to 17,*,*,231
Normal birth weight (2500g+),2006,Brown,15 to 17,*,*,232
Low birth weight (<2500g),2006,Brown,18 to 19,4,8.7,234
Normal birth weight (2500g+),2006,Brown,18 to 19,42,91.3,235
Low birth weight (<2500g),2006,Brown,20 to 24,9,4.4,237
Normal birth weight (2500g+),2006,Brown,20 to 24,195,95.6,238
Low birth weight (<2500g),2006,Brown,25 to 29,17,10.5,240
Normal birth weight (2500g+),2006,Brown,25 to 29,145,89.5,241
Low birth weight (<2500g),2006,Brown,30 to 34,15,15.8,243
Normal birth weight (2500g+),2006,Brown,30 to 34,80,84.2,244
Low birth weight (<2500g),2006,Brown,35 to 39,3,8.8,246
Normal birth weight (2500g+),2006,Brown,35 to 39,31,91.2,247
Low birth weight (<2500g),2006,Brown,40 to 44,*,*,249
Normal birth weight (2500g+),2006,Brown,40 to 44,*,*,250
Low birth weight (<2500g),2006,Brown,45 and older,0,0.0,252
Normal birth weight (2500g+),2006,Brown,45 and older,0,0.0,253
Low birth weight (<2500g),2006,Brown,Less than 15,0,0.0,255
Normal birth weight (2500g+),2006,Brown,Less than 15,*,*,256
Low birth weight (<2500g),2006,Brown,Unknown,0,0.0,258
Normal birth weight (2500g+),2006,Brown,Unknown,0,0.0,259
Low birth weight (<2500g),2006,Butler,15 to 17,15,9.0,264
Normal birth weight (2500g+),2006,Butler,15 to 17,152,91.0,265
Low birth weight (<2500g),2006,Butler,18 to 19,33,8.8,267
Normal birth weight (2500g+),2006,Butler,18 to 19,340,91.2,268
Low birth weight (<2500g),2006,Butler,20 to 24,98,7.3,270
Normal birth weight (2500g+),2006,Butler,20 to 24,1,236,92.7,271
Low birth weight (<2500g),2006,Butler,25 to 29,113,7.8,273
Normal birth weight (2500g+),2006,Butler,25 to 29,1,330,92.2,274
Low birth weight (<2500g),2006,Butler,30 to 34,90,7.6,276
Normal birth weight (2500g+),2006,Butler,30 to 34,1,088,92.4,277
Low birth weight (<2500g),2006,Butler,35 to 39,37,7.1,279
Normal birth weight (2500g+),2006,Butler,35 to 39,481,92.9,280
Low birth weight (<2500g),2006,Butler,40 to 44,4,4.7,282
Normal birth weight (2500g+),2006,Butler,40 to 44,82,95.3,283
Low birth weight (<2500g),2006,Butler,45 and older,*,*,285
Normal birth weight (2500g+),2006,Butler,45 and older,*,*,286
Low birth weight (<2500g),2006,Butler,Less than 15,*,*,288
Normal birth weight (2500g+),2006,Butler,Less than 15,*,*,289
Low birth weight (<2500g),2006,Butler,Unknown,0,0.0,291
Normal birth weight (2500g+),2006,Butler,Unknown,0,0.0,292
Low birth weight (<2500g),2006,Carroll,15 to 17,0,0.0,297
Normal birth weight (2500g+),2006,Carroll,15 to 17,*,*,298
Low birth weight (<2500g),2006,Carroll,18 to 19,2,12.5,300
Normal birth weight (2500g+),2006,Carroll,18 to 19,*,*,301
Low birth weight (<2500g),2006,Carroll,20 to 24,9,9.4,303
Normal birth weight (2500g+),2006,Carroll,20 to 24,87,90.6,304
Low birth weight (<2500g),2006,Carroll,25 to 29,8,7.2,306
Normal birth weight (2500g+),2006,Carroll,25 to 29,103,92.8,307
Low birth weight (<2500g),2006,Carroll,30 to 34,7,11.3,309
Normal birth weight (2500g+),2006,Carroll,30 to 34,55,88.7,310
Low birth weight (<2500g),2006,Carroll,35 to 39,3,10.3,312
Normal birth weight (2500g+),2006,Carroll,35 to 39,26,89.7,313
Low birth weight (<2500g),2006,Carroll,40 to 44,0,0.0,315
Normal birth weight (2500g+),2006,Carroll,40 to 44,*,*,316
Low birth weight (<2500g),2006,Carroll,45 and older,0,0.0,318
Normal birth weight (2500g+),2006,Carroll,45 and older,0,0.0,319
Low birth weight (<2500g),2006,Carroll,Less than 15,0,0.0,321
Normal birth weight (2500g+),2006,Carroll,Less than 15,0,0.0,322
Low birth weight (<2500g),2006,Carroll,Unknown,0,0.0,324
Normal birth weight (2500g+),2006,Carroll,Unknown,0,0.0,325
Low birth weight (<2500g),2006,Champaign,15 to 17,1,5.3,330
Normal birth weight (2500g+),2006,Champaign,15 to 17,*,*,331
Low birth weight (<2500g),2006,Champaign,18 to 19,5,9.8,333
Normal birth weight (2500g+),2006,Champaign,18 to 19,46,90.2,334
Low birth weight (<2500g),2006,Champaign,20 to 24,13,8.9,336
Normal birth weight (2500g+),2006,Champaign,20 to 24,133,91.1,337
Low birth weight (<2500g),2006,Champaign,25 to 29,11,7.6,339
Normal birth weight (2500g+),2006,Champaign,25 to 29,134,92.4,340
Low birth weight (<2500g),2006,Champaign,30 to 34,8,9.3,342
Normal birth weight (2500g+),2006,Champaign,30 to 34,78,90.7,343
Low birth weight (<2500g),2006,Champaign,35 to 39,3,7.7,345
Normal birth weight (2500g+),2006,Champaign,35 to 39,36,92.3,346
Low birth weight (<2500g),2006,Champaign,40 to 44,0,0.0,348
Normal birth weight (2500g+),2006,Champaign,40 to 44,*,*,349
Low birth weight (<2500g),2006,Champaign,45 and older,0,0.0,351
Normal birth weight (2500g+),2006,Champaign,45 and older,0,0.0,352
Low birth weight (<2500g),2006,Champaign,Less than 15,0,0.0,354
Normal birth weight (2500g+),2006,Champaign,Less than 15,*,*,355
Low birth weight (<2500g),2006,Champaign,Unknown,0,0.0,357
Normal birth weight (2500g+),2006,Champaign,Unknown,0,0.0,358
Low birth weight (<2500g),2006,Clark,15 to 17,8,9.4,363
Normal birth weight (2500g+),2006,Clark,15 to 17,77,90.6,364
Low birth weight (<2500g),2006,Clark,18 to 19,10,6.5,366
Normal birth weight (2500g+),2006,Clark,18 to 19,145,93.5,367
Low birth weight (<2500g),2006,Clark,20 to 24,57,9.0,369
Normal birth weight (2500g+),2006,Clark,20 to 24,576,91.0,370
Low birth weight (<2500g),2006,Clark,25 to 29,39,7.7,372
Normal birth weight (2500g+),2006,Clark,25 to 29,468,92.3,373
Low birth weight (<2500g),2006,Clark,30 to 34,26,9.5,375
Normal birth weight (2500g+),2006,Clark,30 to 34,249,90.5,376
Low birth weight (<2500g),2006,Clark,35 to 39,12,10.4,378
Normal birth weight (2500g+),2006,Clark,35 to 39,103,89.6,379
Low birth weight (<2500g),2006,Clark,40 to 44,6,21.4,381
Normal birth weight (2500g+),2006,Clark,40 to 44,*,*,382
Low birth weight (<2500g),2006,Clark,45 and older,0,0.0,384
Normal birth weight (2500g+),2006,Clark,45 and older,*,*,385
Low birth weight (<2500g),2006,Clark,Less than 15,0,0.0,387
Normal birth weight (2500g+),2006,Clark,Less than 15,*,*,388
Low birth weight (<2500g),2006,Clark,Unknown,0,0.0,390
Normal birth weight (2500g+),2006,Clark,Unknown,0,0.0,391
Low birth weight (<2500g),2006,Clermont,15 to 17,8,11.0,396
Normal birth weight (2500g+),2006,Clermont,15 to 17,65,89.0,397
Low birth weight (<2500g),2006,Clermont,18 to 19,14,7.6,399
Normal birth weight (2500g+),2006,Clermont,18 to 19,170,92.4,400
Low birth weight (<2500g),2006,Clermont,20 to 24,59,8.1,402
Normal birth weight (2500g+),2006,Clermont,20 to 24,665,91.9,403
Low birth weight (<2500g),2006,Clermont,25 to 29,52,6.0,405
Normal birth weight (2500g+),2006,Clermont,25 to 29,809,94.0,406
Low birth weight (<2500g),2006,Clermont,30 to 34,52,7.8,408
Normal birth weight (2500g+),2006,Clermont,30 to 34,613,92.2,409
Low birth weight (<2500g),2006,Clermont,35 to 39,26,8.0,411
Normal birth weight (2500g+),2006,Clermont,35 to 39,298,92.0,412
Low birth weight (<2500g),2006,Clermont,40 to 44,5,8.3,414
Normal birth weight (2500g+),2006,Clermont,40 to 44,55,91.7,415
Low birth weight (<2500g),2006,Clermont,45 and older,0,0.0,417
Normal birth weight (2500g+),2006,Clermont,45 and older,*,*,418
Low birth weight (<2500g),2006,Clermont,Less than 15,0,0.0,420
Normal birth weight (2500g+),2006,Clermont,Less than 15,0,0.0,421
Low birth weight (<2500g),2006,Clermont,Unknown,0,0.0,423
Normal birth weight (2500g+),2006,Clermont,Unknown,0,0.0,424
Low birth weight (<2500g),2006,Clinton,15 to 17,*,*,429
Normal birth weight (2500g+),2006,Clinton,15 to 17,*,*,430
Low birth weight (<2500g),2006,Clinton,18 to 19,6,11.5,432
Normal birth weight (2500g+),2006,Clinton,18 to 19,46,88.5,433
Low birth weight (<2500g),2006,Clinton,20 to 24,21,10.1,435
Normal birth weight (2500g+),2006,Clinton,20 to 24,186,89.9,436
Low birth weight (<2500g),2006,Clinton,25 to 29,17,10.4,438
Normal birth weight (2500g+),2006,Clinton,25 to 29,146,89.6,439
Low birth weight (<2500g),2006,Clinton,30 to 34,6,6.9,441
Normal birth weight (2500g+),2006,Clinton,30 to 34,81,93.1,442
Low birth weight (<2500g),2006,Clinton,35 to 39,7,15.6,444
Normal birth weight (2500g+),2006,Clinton,35 to 39,38,84.4,445
Low birth weight (<2500g),2006,Clinton,40 to 44,0,0.0,447
Normal birth weight (2500g+),2006,Clinton,40 to 44,*,*,448
Low birth weight (<2500g),2006,Clinton,45 and older,*,*,450
Normal birth weight (2500g+),2006,Clinton,45 and older,*,*,451
Low birth weight (<2500g),2006,Clinton,Less than 15,0,0.0,453
Normal birth weight (2500g+),2006,Clinton,Less than 15,*,*,454
Low birth weight (<2500g),2006,Clinton,Unknown,0,0.0,456
Normal birth weight (2500g+),2006,Clinton,Unknown,0,0.0,457
Low birth weight (<2500g),2006,Columbiana,15 to 17,3,7.3,462
Normal birth weight (2500g+),2006,Columbiana,15 to 17,38,92.7,463
Low birth weight (<2500g),2006,Columbiana,18 to 19,10,8.8,465
Normal birth weight (2500g+),2006,Columbiana,18 to 19,103,91.2,466
Low birth weight (<2500g),2006,Columbiana,20 to 24,27,7.2,468
Normal birth weight (2500g+),2006,Columbiana,20 to 24,347,92.8,469
Low birth weight (<2500g),2006,Columbiana,25 to 29,22,5.9,471
Normal birth weight (2500g+),2006,Columbiana,25 to 29,354,94.1,472
Low birth weight (<2500g),2006,Columbiana,30 to 34,20,9.6,474
Normal birth weight (2500g+),2006,Columbiana,30 to 34,189,90.4,475
Low birth weight (<2500g),2006,Columbiana,35 to 39,8,9.0,477
Normal birth weight (2500g+),2006,Columbiana,35 to 39,81,91.0,478
Low birth weight (<2500g),2006,Columbiana,40 to 44,1,5.3,480
Normal birth weight (2500g+),2006,Columbiana,40 to 44,*,*,481
Low birth weight (<2500g),2006,Columbiana,45 and older,*,*,483
Normal birth weight (2500g+),2006,Columbiana,45 and older,*,*,484
Low birth weight (<2500g),2006,Columbiana,Less than 15,*,*,486
Normal birth weight (2500g+),2006,Columbiana,Less than 15,0,0.0,487
Low birth weight (<2500g),2006,Columbiana,Unknown,0,0.0,489
Normal birth weight (2500g+),2006,Columbiana,Unknown,0,0.0,490
Low birth weight (<2500g),2006,Coshocton,15 to 17,1,6.3,495
Normal birth weight (2500g+),2006,Coshocton,15 to 17,*,*,496
Low birth weight (<2500g),2006,Coshocton,18 to 19,5,14.3,498
Normal birth weight (2500g+),2006,Coshocton,18 to 19,30,85.7,499
Low birth weight (<2500g),2006,Coshocton,20 to 24,11,7.9,501
Normal birth weight (2500g+),2006,Coshocton,20 to 24,129,92.1,502
Low birth weight (<2500g),2006,Coshocton,25 to 29,10,6.8,504
Normal birth weight (2500g+),2006,Coshocton,25 to 29,136,93.2,505
Low birth weight (<2500g),2006,Coshocton,30 to 34,1,1.9,507
Normal birth weight (2500g+),2006,Coshocton,30 to 34,51,98.1,508
Low birth weight (<2500g),2006,Coshocton,35 to 39,4,12.9,510
Normal birth weight (2500g+),2006,Coshocton,35 to 39,27,87.1,511
Low birth weight (<2500g),2006,Coshocton,40 to 44,*,*,513
Normal birth weight (2500g+),2006,Coshocton,40 to 44,*,*,514
Low birth weight (<2500g),2006,Coshocton,45 and older,0,0.0,516
Normal birth weight (2500g+),2006,Coshocton,45 and older,0,0.0,517
Low birth weight (<2500g),2006,Coshocton,Less than 15,0,0.0,519
Normal birth weight (2500g+),2006,Coshocton,Less than 15,0,0.0,520
Low birth weight (<2500g),2006,Coshocton,Unknown,0,0.0,522
Normal birth weight (2500g+),2006,Coshocton,Unknown,0,0.0,523
Low birth weight (<2500g),2006,Crawford,15 to 17,0,0.0,528
Normal birth weight (2500g+),2006,Crawford,15 to 17,*,*,529
Low birth weight (<2500g),2006,Crawford,18 to 19,5,9.6,531
Normal birth weight (2500g+),2006,Crawford,18 to 19,47,90.4,532
Low birth weight (<2500g),2006,Crawford,20 to 24,9,5.7,534
Normal birth weight (2500g+),2006,Crawford,20 to 24,149,94.3,535
Low birth weight (<2500g),2006,Crawford,25 to 29,12,8.5,537
Normal birth weight (2500g+),2006,Crawford,25 to 29,130,91.5,538
Low birth weight (<2500g),2006,Crawford,30 to 34,5,6.4,540
Normal birth weight (2500g+),2006,Crawford,30 to 34,73,93.6,541
Low birth weight (<2500g),2006,Crawford,35 to 39,1,2.8,543
Normal birth weight (2500g+),2006,Crawford,35 to 39,35,97.2,544
Low birth weight (<2500g),2006,Crawford,40 to 44,*,*,546
Normal birth weight (2500g+),2006,Crawford,40 to 44,*,*,547
Low birth weight (<2500g),2006,Crawford,45 and older,*,*,549
Normal birth weight (2500g+),2006,Crawford,45 and older,0,0.0,550
Low birth weight (<2500g),2006,Crawford,Less than 15,0,0.0,552
Normal birth weight (2500g+),2006,Crawford,Less than 15,*,*,553
Low birth weight (<2500g),2006,Crawford,Unknown,0,0.0,555
Normal birth weight (2500g+),2006,Crawford,Unknown,0,0.0,556
Low birth weight (<2500g),2006,Cuyahoga,15 to 17,75,11.1,561
Normal birth weight (2500g+),2006,Cuyahoga,15 to 17,599,88.9,562
Low birth weight (<2500g),2006,Cuyahoga,18 to 19,172,13.9,564
Normal birth weight (2500g+),2006,Cuyahoga,18 to 19,1,065,86.1,565
Low birth weight (<2500g),2006,Cuyahoga,20 to 24,451,11.3,567
Normal birth weight (2500g+),2006,Cuyahoga,20 to 24,3,551,88.7,568
Low birth weight (<2500g),2006,Cuyahoga,25 to 29,396,9.2,570
Normal birth weight (2500g+),2006,Cuyahoga,25 to 29,3,926,90.8,571
Low birth weight (<2500g),2006,Cuyahoga,30 to 34,357,9.4,573
Normal birth weight (2500g+),2006,Cuyahoga,30 to 34,3,438,90.6,574
Low birth weight (<2500g),2006,Cuyahoga,35 to 39,230,10.6,576
Normal birth weight (2500g+),2006,Cuyahoga,35 to 39,1,934,89.4,577
Low birth weight (<2500g),2006,Cuyahoga,40 to 44,59,14.5,579
Normal birth weight (2500g+),2006,Cuyahoga,40 to 44,347,85.5,580
Low birth weight (<2500g),2006,Cuyahoga,45 and older,3,15.0,582
Normal birth weight (2500g+),2006,Cuyahoga,45 and older,*,*,583
Low birth weight (<2500g),2006,Cuyahoga,Less than 15,16,30.2,585
Normal birth weight (2500g+),2006,Cuyahoga,Less than 15,37,69.8,586
Low birth weight (<2500g),2006,Cuyahoga,Unknown,0,0.0,588
Normal birth weight (2500g+),2006,Cuyahoga,Unknown,0,0.0,589
Low birth weight (<2500g),2006,Darke,15 to 17,*,*,594
Normal birth weight (2500g+),2006,Darke,15 to 17,*,*,595
Low birth weight (<2500g),2006,Darke,18 to 19,7,11.7,597
Normal birth weight (2500g+),2006,Darke,18 to 19,53,88.3,598
Low birth weight (<2500g),2006,Darke,20 to 24,12,5.5,600
Normal birth weight (2500g+),2006,Darke,20 to 24,207,94.5,601
Low birth weight (<2500g),2006,Darke,25 to 29,15,7.1,603
Normal birth weight (2500g+),2006,Darke,25 to 29,197,92.9,604
Low birth weight (<2500g),2006,Darke,30 to 34,5,4.2,606
Normal birth weight (2500g+),2006,Darke,30 to 34,114,95.8,607
Low birth weight (<2500g),2006,Darke,35 to 39,4,8.2,609
Normal birth weight (2500g+),2006,Darke,35 to 39,45,91.8,610
Low birth weight (<2500g),2006,Darke,40 to 44,2,11.8,612
Normal birth weight (2500g+),2006,Darke,40 to 44,*,*,613
Low birth weight (<2500g),2006,Darke,45 and older,0,0.0,615
Normal birth weight (2500g+),2006,Darke,45 and older,*,*,616
Low birth weight (<2500g),2006,Darke,Less than 15,0,0.0,618
Normal birth weight (2500g+),2006,Darke,Less than 15,0,0.0,619
Low birth weight (<2500g),2006,Darke,Unknown,0,0.0,621
Normal birth weight (2500g+),2006,Darke,Unknown,0,0.0,622
Low birth weight (<2500g),2006,Defiance,15 to 17,2,14.3,627
Normal birth weight (2500g+),2006,Defiance,15 to 17,*,*,628
Low birth weight (<2500g),2006,Defiance,18 to 19,5,9.4,630
Normal birth weight (2500g+),2006,Defiance,18 to 19,48,90.6,631
Low birth weight (<2500g),2006,Defiance,20 to 24,13,8.2,633
Normal birth weight (2500g+),2006,Defiance,20 to 24,145,91.8,634
Low birth weight (<2500g),2006,Defiance,25 to 29,6,3.5,636
Normal birth weight (2500g+),2006,Defiance,25 to 29,167,96.5,637
Low birth weight (<2500g),2006,Defiance,30 to 34,4,4.2,639
Normal birth weight (2500g+),2006,Defiance,30 to 34,92,95.8,640
Low birth weight (<2500g),2006,Defiance,35 to 39,4,11.1,642
Normal birth weight (2500g+),2006,Defiance,35 to 39,32,88.9,643
Low birth weight (<2500g),2006,Defiance,40 to 44,*,*,645
Normal birth weight (2500g+),2006,Defiance,40 to 44,*,*,646
Low birth weight (<2500g),2006,Defiance,45 and older,0,0.0,648
Normal birth weight (2500g+),2006,Defiance,45 and older,*,*,649
Low birth weight (<2500g),2006,Defiance,Less than 15,0,0.0,651
Normal birth weight (2500g+),2006,Defiance,Less than 15,0,0.0,652
Low birth weight (<2500g),2006,Defiance,Unknown,0,0.0,654
Normal birth weight (2500g+),2006,Defiance,Unknown,0,0.0,655
Low birth weight (<2500g),2006,Delaware,15 to 17,*,*,660
Normal birth weight (2500g+),2006,Delaware,15 to 17,*,*,661
Low birth weight (<2500g),2006,Delaware,18 to 19,3,6.8,663
Normal birth weight (2500g+),2006,Delaware,18 to 19,41,93.2,664
Low birth weight (<2500g),2006,Delaware,20 to 24,11,4.0,666
Normal birth weight (2500g+),2006,Delaware,20 to 24,263,96.0,667
Low birth weight (<2500g),2006,Delaware,25 to 29,34,5.3,669
Normal birth weight (2500g+),2006,Delaware,25 to 29,603,94.7,670
